HMDB,a.mode,metabolite,Symbol,Uniprot,type(a),ProtName,pubchem,CellLoc,TissueLoc,BSLoc,metabolite_subclass,a.combined_score,a.experiment,a.database,a.prediction,a.textmining
"""HMDB0000220""","""activation""","""Palmitic acid""","""DRD3""","""uniprot:P35462""","""StitchMetaboliteReceptor""",null,985,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Fatty acids and conjugates""",467,0,322,0,236
"""HMDB0000073""","""activation""","""Dopamine""","""DRD3""","""uniprot:P35462""","""NeuronchatMetaboliteReceptor""",null,681,"[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Benzenediols""",null,null,null,null,null
"""HMDB0000068""","""activation""","""Epinephrine""","""DRD3""","""uniprot:P35462""","""NeuronchatMetaboliteReceptor""",null,5816,"[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Eye Lens"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""Benzenediols""",null,null,null,null,null
"""HMDB0001448""","""binding""","""Sulfate""","""CALCRL""","""uniprot:Q16602""","""StitchMetaboliteReceptor""",null,1117,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Placenta""]","[""Blood"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Non-metal sulfates""",800,0,800,0,0
"""HMDB0000112""","""activation""","""gamma-Aminobutyric acid""","""GABRA4""","""uniprot:P48169""","""CellphoneMetaboliteReceptor""",null,119,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adrenal Cortex"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Placenta"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amino acids, peptides, and analogues""",null,null,null,null,null
"""HMDB0000879""","""inhibition""","""Tetrahydrodeoxycorticosterone""","""GABRA4""","""uniprot:P48169""","""ScconnectMetaboliteReceptor""",null,101771,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Feces"", ""Urine""]","""Hydroxysteroids""",null,null,null,null,null
"""HMDB0001449""","""inhibition""","""Allopregnanolone""","""GABRA4""","""uniprot:P48169""","""ScconnectMetaboliteReceptor""",null,92786,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)""]","""Pregnane steroids""",null,null,null,null,null
"""HMDB0000108""","""inhibition""","""Ethanol""","""GABRA4""","""uniprot:P48169""","""StitchMetaboliteReceptor""",null,702,"[""Cytoplasm"", ""Extracellular"", ""Peroxisome""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Heart"", ""Intestine"", ""Kidney"", ""Liver"", ""Lung"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Alcohols and polyols""",926,0,0,800,642
"""HMDB0000112""","""activation""","""gamma-Aminobutyric acid""","""GABRA4""","""uniprot:P48169""","""StitchMetaboliteReceptor""",null,119,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adrenal Cortex"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Placenta"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amino acids, peptides, and analogues""",972,0,422,900,543
"""HMDB0014967""","""activation""","""Diazepam""","""GABRA4""","""uniprot:P48169""","""StitchMetaboliteReceptor""",null,3016,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""1,4-benzodiazepines""",748,0,429,0,572
"""HMDB0000112""","""activation""","""gamma-Aminobutyric acid""","""GABRA4""","""uniprot:P48169""","""NeuronchatMetaboliteReceptor""",null,119,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adrenal Cortex"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Placenta"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amino acids, peptides, and analogues""",null,null,null,null,null
"""HMDB0000112""","""activation""","""gamma-Aminobutyric acid""","""GABRA3""","""uniprot:P34903""","""NeuronchatMetaboliteReceptor""",null,119,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adrenal Cortex"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Placenta"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amino acids, peptides, and analogues""",null,null,null,null,null
"""HMDB0000112""","""activation""","""gamma-Aminobutyric acid""","""GABRA3""","""uniprot:P34903""","""NeuronchatMetaboliteReceptor""",null,119,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adrenal Cortex"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Placenta"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amino acids, peptides, and analogues""",null,null,null,null,null
"""HMDB0000112""","""activation""","""gamma-Aminobutyric acid""","""GABRA3""","""uniprot:P34903""","""CellphoneMetaboliteReceptor""",null,119,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adrenal Cortex"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Placenta"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amino acids, peptides, and analogues""",null,null,null,null,null
"""HMDB0000879""","""inhibition""","""Tetrahydrodeoxycorticosterone""","""GABRA3""","""uniprot:P34903""","""ScconnectMetaboliteReceptor""",null,101771,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Feces"", ""Urine""]","""Hydroxysteroids""",null,null,null,null,null
"""HMDB0001449""","""inhibition""","""Allopregnanolone""","""GABRA3""","""uniprot:P34903""","""ScconnectMetaboliteReceptor""",null,92786,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)""]","""Pregnane steroids""",null,null,null,null,null
"""HMDB0000273""","""binding""","""Thymidine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,5789,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Adipose Tissue"", ""Adrenal Gland"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","[""Amniotic Fluid"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Pyrimidine 2'-deoxyribonucleosides""",205,0,205,0,0
"""HMDB0000975""","""binding""","""Trehalose""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,7427,"[""Extracellular""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Platelet"", ""Skeletal Muscle""]","[""Feces"", ""Urine""]","""Carbohydrates and carbohydrate conjugates""",322,0,322,0,0
"""HMDB0014323""","""binding""","""Valsartan""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,60846,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Amino acids, peptides, and analogues""",417,0,259,0,236
"""HMDB0000050""","""binding""","""Adenosine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,60961,"[""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""All Tissues"", ""Placenta""]","[""Blood"", ""Breast Milk"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]",null,237,0,237,0,0
"""HMDB0014844""","""binding""","""Tamsulosin""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,129211,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Phenethylamines""",325,0,325,0,0
"""HMDB0000169""","""binding""","""D-Mannose""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,185698,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Golgi apparatus"", ""Lysosome""]","[""Adrenal Medulla"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Breast Milk"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Carbohydrates and carbohydrate conjugates""",322,0,322,0,0
"""HMDB0000216""","""binding""","""Norepinephrine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,439260,"[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Heart"", ""Intestine"", ""Kidney"", ""Leukocyte"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""Benzenediols""",249,0,249,0,0
"""HMDB0008923""","""binding""","""PE(16:0/16:0)""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,445468,"[""Extracellular"", ""Membrane""]","[""All Tissues"", ""Brain""]","[""Feces""]","""Glycerophosphoethanolamines""",322,0,322,0,0
"""HMDB0000674""","""binding""","""PA(16:0/16:0)""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,446066,"[""Extracellular"", ""Membrane""]",null,"[""Blood""]","""Glycerophosphates""",322,0,322,0,0
"""HMDB0036565""","""binding""","""beta-Ionone""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,638014,"[""Extracellular"", ""Membrane""]",null,"[""Saliva""]","""Sesquiterpenoids""",322,0,322,0,0
"""HMDB0001358""","""binding""","""Retinal""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,638015,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Adrenal Cortex"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Lung"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Urine""]","""Retinoids""",322,0,322,0,0
"""HMDB0001220""","""binding""","""Prostaglandin E2""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,5280360,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane""]","[""Brain"", ""Epidermis"", ""Fibroblasts"", ""Placenta""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Eicosanoids""",309,0,309,0,0
"""HMDB0001442""","""binding""","""Prostaglandin E1""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,5280723,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Liver"", ""Neuron"", ""Placenta"", ""Platelet""]","[""Blood""]","""Eicosanoids""",271,0,271,0,0
"""HMDB0004080""","""binding""","""Anandamide""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,5281969,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Urine""]","""Amines""",211,0,211,0,0
"""HMDB0013657""","""binding""","""2-Arachidonyl Glycerol ether""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,6483057,"[""Extracellular"", ""Membrane""]",null,null,null,310,0,205,0,157
"""HMDB0000990""","""binding""","""Acetaldehyde""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,177,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Peroxisome""]","[""Adrenal Medulla"", ""Brain"", ""Epidermis"", ""Erythrocyte"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Testis"", ""Thyroid Gland""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Carbonyl compounds""",322,0,322,0,0
"""HMDB0000073""","""binding""","""Dopamine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,681,"[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Benzenediols""",374,0,274,0,163
"""HMDB0000123""","""binding""","""Glycine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,750,"[""Extracellular"", ""Lysosome"", ""Mitochondria"", ""Peroxisome""]","[""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Spleen"", ""Thyroid Gland""]","[""Bile"", ""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Amino acids, peptides, and analogues""",283,0,283,0,0
"""HMDB0000870""","""binding""","""Histamine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,774,"[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amines""",511,0,204,0,402
"""HMDB0000220""","""binding""","""Palmitic acid""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,985,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Fatty acids and conjugates""",467,0,322,0,236
"""HMDB0014466""","""binding""","""Amitriptyline""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,2160,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]",null,286,0,286,0,0
"""HMDB0014683""","""binding""","""Amoxapine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,2170,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Dibenzoxazepines""",214,0,214,0,0
"""HMDB0015267""","""binding""","""Carvedilol""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,2585,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Carbazoles""",274,0,274,0,0
"""HMDB0014620""","""binding""","""Chlorpromazine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,2726,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Phenothiazines""",267,0,267,0,0
"""HMDB0014677""","""binding""","""Ciprofloxacin""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,2764,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Quinoline carboxylic acids""",282,0,282,0,0
"""HMDB0015477""","""binding""","""Clenbuterol""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,2783,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Halobenzenes""",276,0,276,0,0
"""HMDB0015282""","""binding""","""Desipramine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,2995,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Dibenzazepines""",280,0,280,0,0
"""HMDB0014328""","""binding""","""Amphetamine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,3007,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]","""Phenethylamines""",275,0,275,0,0
"""HMDB0040987""","""binding""","""(-)-Morphine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,4253,"[""Cytoplasm"", ""Extracellular""]",null,null,null,382,101,332,0,0
"""HMDB0014680""","""binding""","""Nortriptyline""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,4543,"[""Cytoplasm"", ""Extracellular"", ""Membrane""]","[""Kidney"", ""Liver""]","[""Blood"", ""Urine""]",null,286,0,286,0,0
"""HMDB0015070""","""binding""","""Oxymetazoline""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,4636,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Xylenes""",270,0,270,0,0
"""HMDB0014600""","""binding""","""Prazosin""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,4893,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Piperazines""",366,0,366,0,0
"""HMDB0000259""","""binding""","""Serotonin""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,5202,"[""Cytoplasm"", ""Extracellular""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Adrenal Gland"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Urine""]","""Tryptamines and derivatives""",310,0,310,0,0
"""HMDB0014794""","""binding""","""Trazodone""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,5533,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Piperazines""",209,0,209,0,0
"""HMDB0031404""","""binding""","""Cyclohexylamine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,7965,"[""Cytoplasm"", ""Extracellular""]",null,"[""Blood"", ""Feces""]","""Cyclohexylamines""",307,0,307,0,0
"""HMDB0015559""","""binding""","""Thioproperazine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,9429,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Phenothiazines""",275,0,275,0,0
"""HMDB0032477""","""binding""","""Polyoxyethylene 40 monostearate""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,24762,"[""Extracellular"", ""Membrane""]",null,null,"""Fatty acid esters""",287,0,287,0,0
"""HMDB0014940""","""binding""","""Alfentanil""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,51263,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Anilides""",273,0,273,0,0
"""HMDB0013657""","""binding""","""2-Arachidonyl Glycerol ether""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,6483057,"[""Extracellular"", ""Membrane""]",null,null,null,304,0,205,0,150
"""HMDB0014323""","""activation""","""Valsartan""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,60846,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Amino acids, peptides, and analogues""",417,0,259,0,236
"""HMDB0000870""","""activation""","""Histamine""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,774,"[""Extracellular""]","[""Adipose Tissue"", ""Adrenal Medulla"", ""Bladder"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Urine""]","""Amines""",511,0,204,0,402
"""HMDB0000220""","""activation""","""Palmitic acid""","""GPR61""","""uniprot:Q9BZJ8""","""StitchMetaboliteReceptor""",null,985,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Membrane"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Kidney"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Fatty acids and conjugates""",467,0,322,0,236
"""HMDB0000517""","""activation""","""L-Arginine""","""SLC7A1""","""uniprot:P30825""","""StitchMetaboliteReceptor""",null,6322,"[""Cytoplasm"", ""Extracellular"", ""Mitochondria""]","[""Adipose Tissue"", ""Adrenal Cortex"", ""Bladder"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Liver"", ""Neuron"", ""Ovary"", ""Pancreas"", ""Placenta"", ""Platelet"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Amino acids, peptides, and analogues""",954,0,504,900,143
"""HMDB0001183""","""inhibition""","""Octanol""","""GJB4""","""uniprot:Q9NTQ9""","""ScconnectMetaboliteReceptor""",null,957,"[""Extracellular"", ""Membrane""]","[""Adipose Tissue"", ""Brain"", ""Epidermis"", ""Fibroblasts"", ""Intestine"", ""Placenta"", ""Skeletal Muscle""]","[""Feces"", ""Urine""]","""Fatty alcohols""",null,null,null,null,null
"""HMDB0015397""","""binding""","""Sunitinib""","""NTRK2""","""uniprot:Q16620""","""StitchMetaboliteReceptor""",null,5329102,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Indolines""",879,0,879,0,0
"""HMDB0000131""","""binding""","""Glycerol""","""NTRK2""","""uniprot:Q16620""","""StitchMetaboliteReceptor""",null,753,"[""Extracellular"", ""Mitochondria""]","[""Adipose Tissue"", ""Bladder"", ""Brain"", ""Epidermis"", ""Kidney"", ""Liver"", ""Neuron"", ""Pancreas"", ""Placenta"", ""Prostate"", ""Skeletal Muscle"", ""Spleen"", ""Testis"", ""Thyroid Gland""]","[""Blood"", ""Cerebrospinal Fluid (CSF)"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Carbohydrates and carbohydrate conjugates""",825,0,800,0,151
"""HMDB0001448""","""binding""","""Sulfate""","""NTRK2""","""uniprot:Q16620""","""StitchMetaboliteReceptor""",null,1117,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Lysosome"", ""Mitochondria""]","[""Placenta""]","[""Blood"", ""Feces"", ""Saliva"", ""Sweat"", ""Urine""]","""Non-metal sulfates""",800,0,800,0,0
"""HMDB0014466""","""binding""","""Amitriptyline""","""NTRK2""","""uniprot:Q16620""","""StitchMetaboliteReceptor""",null,2160,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]",null,824,0,0,800,146
"""HMDB0015397""","""inhibition""","""Sunitinib""","""NTRK2""","""uniprot:Q16620""","""StitchMetaboliteReceptor""",null,5329102,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]","""Indolines""",879,0,879,0,0
"""HMDB0014466""","""activation""","""Amitriptyline""","""NTRK2""","""uniprot:Q16620""","""StitchMetaboliteReceptor""",null,2160,"[""Extracellular"", ""Membrane""]",null,"[""Blood"", ""Urine""]",null,824,0,0,800,146
"""HMDB0000538""","""activation""","""Adenosine triphosphate""","""P2RY8""","""uniprot:Q86VZ1""","""StitchMetaboliteReceptor""",null,5957,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Nucleus"", ""Peroxisome""]","[""Adipose Tissue"", ""Bladder"", ""Fibroblasts"", ""Intestine"", ""Kidney"", ""Neuron"", ""Pancreas"", ""Platelet"", ""Skeletal Muscle""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Saliva""]","""Purine ribonucleotides""",800,0,0,800,0
"""HMDB0001341""","""activation""","""ADP""","""P2RY8""","""uniprot:Q86VZ1""","""StitchMetaboliteReceptor""",null,6022,"[""Cytoplasm"", ""Endoplasmic reticulum"", ""Extracellular"", ""Mitochondria"", ""Nucleus"", ""Peroxisome""]","[""All Tissues""]","[""Blood"", ""Cellular Cytoplasm"", ""Cerebrospinal Fluid (CSF)"", ""Saliva"", ""Urine""]","""Purine ribonucleotides""",800,0,0,800,0
